CID		CRID	tagTime			    tp	state   price	transfer  getout
1000	11	2014 11 14 18 0 12	1	1	18700	0	0
1000	11	2014 11 14 18 8 18	1	1	18700	0	1
0	11	2014 11 14 18 8 21	1	1	18700	0	1
1000	11	2014 11 14 18 9 42	1	1	18700	0	1
1009	11	2014 11 14 18 10 18	1	1	48350	0	1
1000	11	2014 11 14 18 10 46	1	1	18700	0	0
1005	11	2014 11 14 18 11 21	1	1	8450	0	1
1000	11	2014 11 14 18 15 40	1	1	18700	0	0
1001	11	2014 11 14 18 18 25	1	1	750	0	0
1000	11	2014 11 15 22 9 10	1	1	18700	0	1
1009	11	2014 11 16 2 35 7	1	1	48350	0	0
1000	11	2014 11 16 2 37 37	1	1	18700	0	1
0	11	2014 11 16 2 37 44	1	1	18700	0	1
1000	11	2014 11 16 3 13 9	1	1	18700	0	0
1001	11	2014 11 16 3 13 26	1	1	6250	0	0
1005	11	2014 11 16 3 13 37	1	1	7200	0	1
1007	11	2014 11 16 3 15 37	1	1	18350	0	0
1010	11	2014 11 16 3 16 20	1	1	70000	0	1
1009	11	2014 11 16 3 16 37	1	1	48350	0	0
1000	11	2014 11 20 15 7 9	1	1	19450	0	0
1000	11	2014 11 20 15 8 0	1	1	19450	0	0
1000	11	2014 11 20 15 10 32	1	1	19450	0	0
1000	11	2014 11 20 15 11 2	1	1	18200	0	0
1000	11	2014 11 20 15 11 19	1	1	16950	0	0
1000	11	2014 11 20 15 11 35	1	1	15700	0	0
1000	11	2014 11 20 15 12 11	1	1	14450	0	1
1000	11	2014 11 20 15 12 36	1	1	13200	0	1
1000	11	2014 11 20 17 50 51	1	1	11950	0	1
1000	11	2014 11 20 19 41 2	1	1	10700	0	1
1000	11	2014 11 20 19 42 16	1	1	9450	0	1
1000	11	2014 11 20 19 43 40	1	1	8200	0	1
1000	11	2014 11 20 19 46 41	1	1	6950	0	1
1000	11	2014 11 20 19 52 18	1	1	5700	0	1
1000	11	2014 11 21 4 44 0	1	1	49650	0	1
1000	11	2014 11 21 4 44 5	1	1	48400	0	1
1000	11	2014 11 21 4 44 53	1	1	47150	0	1
1000	11	2014 11 21 4 45 2	1	1	45900	0	1
1000	11	2014 11 21 4 45 9	1	1	44650	0	1
1000	11	2014 11 21 4 45 12	1	1	43400	0	1
1000	11	2014 11 21 4 45 57	1	1	42150	0	1
1000	11	2014 11 21 4 46 3	1	1	40900	0	1
1000	11	2014 11 21 4 46 9	1	1	39650	0	1
1000	11	2014 11 21 4 46 11	1	1	38400	0	1
1000	11	2014 11 21 4 46 16	1	1	37150	0	1
1000	11	2014 11 21 4 46 21	1	1	35900	0	1
1000	11	2014 11 21 4 46 25	1	1	34650	0	1
1000	11	2014 11 21 4 47 8	1	1	33400	0	0
1000	11	2014 11 21 4 47 25	1	1	32150	0	0
1000	11	2014 11 21 6 23 53	1	1	30900	0	0
1000	11	2014 11 21 13 54 25	1	1	49650	0	0
1000	10	2014 11 21 16 4 36	1	0	49650	0	0
1000	10	2014 11 21 16 5 17	1	0	49650	0	0
1000	10	2014 11 21 16 8 33	1	0	49650	0	0
