CID		CRID	tagTime			    tp	state   cash	transfer  getout
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
1010	11		2014 11 4 23 34 28	1		1	72500	0			1
